,A3,B-2,B-3,B-4,B-5,B2,B3,B5,C#2,C#3,D2,D3,D4,E-3,E-4,E2,E4,F#3,F#4,F4,G#3,G2,G3,G4,G6
E-3,9.999750006249846e-07,9.999750006249846e-07,9.999750006249846e-07,9.999750006249846e-07,9.999750006249846e-07,9.999750006249846e-07,9.999750006249846e-07,9.999750006249846e-07,9.999750006249846e-07,9.999750006249846e-07,9.999750006249846e-07,9.999750006249846e-07,9.999750006249846e-07,9.999750006249846e-07,9.999750006249846e-07,9.999750006249846e-07,9.999750006249846e-07,9.999750006249846e-07,9.999750006249846e-07,9.999750006249846e-07,9.999750006249846e-07,9.999750006249846e-07,9.999750006249846e-07,0.9999760005999851,9.999750006249846e-07
E-4,9.999750006249849e-07,9.999750006249849e-07,9.999750006249849e-07,9.999750006249849e-07,0.9999760005999854,9.999750006249849e-07,9.999750006249849e-07,9.999750006249849e-07,9.999750006249849e-07,9.999750006249849e-07,9.999750006249849e-07,9.999750006249849e-07,9.999750006249849e-07,9.999750006249849e-07,9.999750006249849e-07,9.999750006249849e-07,9.999750006249849e-07,9.999750006249849e-07,9.999750006249849e-07,9.999750006249849e-07,9.999750006249849e-07,9.999750006249849e-07,9.999750006249849e-07,9.999750006249849e-07,9.999750006249849e-07
E2,9.999750006249846e-07,9.999750006249846e-07,9.999750006249846e-07,9.999750006249846e-07,9.999750006249846e-07,9.999750006249846e-07,9.999750006249846e-07,9.999750006249846e-07,9.999750006249846e-07,9.999750006249846e-07,9.999750006249846e-07,9.999750006249846e-07,9.999750006249846e-07,9.999750006249846e-07,9.999750006249846e-07,9.999750006249846e-07,9.999750006249846e-07,9.999750006249846e-07,9.999750006249846e-07,9.999750006249846e-07,9.999750006249846e-07,0.9999760005999851,9.999750006249846e-07,9.999750006249846e-07,9.999750006249846e-07
E4,1.249996093762207e-07,1.249996093762207e-07,1.249996093762207e-07,1.249996093762207e-07,1.249996093762207e-07,1.249996093762207e-07,1.249996093762207e-07,1.249996093762207e-07,1.249996093762207e-07,0.12499973437583008,1.249996093762207e-07,1.249996093762207e-07,1.249996093762207e-07,1.249996093762207e-07,1.249996093762207e-07,1.249996093762207e-07,1.249996093762207e-07,1.249996093762207e-07,1.249996093762207e-07,0.8749973906331544,1.249996093762207e-07,1.249996093762207e-07,1.249996093762207e-07,1.249996093762207e-07,1.249996093762207e-07
F#3,4.99993750078124e-07,4.99993750078124e-07,4.99993750078124e-07,4.99993750078124e-07,4.99993750078124e-07,4.99993750078124e-07,4.99993750078124e-07,4.99993750078124e-07,4.99993750078124e-07,4.99993750078124e-07,4.99993750078124e-07,4.99993750078124e-07,4.99993750078124e-07,4.99993750078124e-07,4.99993750078124e-07,4.99993750078124e-07,4.99993750078124e-07,4.99993750078124e-07,4.99993750078124e-07,0.4999942500718741,4.99993750078124e-07,4.99993750078124e-07,0.4999942500718741,4.99993750078124e-07,4.99993750078124e-07
F#4,2.4999843750976553e-07,2.4999843750976553e-07,2.4999843750976553e-07,2.4999843750976553e-07,2.4999843750976553e-07,2.4999843750976553e-07,2.4999843750976553e-07,2.4999843750976553e-07,2.4999843750976553e-07,2.4999843750976553e-07,2.4999843750976553e-07,2.4999843750976553e-07,2.4999843750976553e-07,2.4999843750976553e-07,2.4999843750976553e-07,2.4999843750976553e-07,2.4999843750976553e-07,2.4999843750976553e-07,2.4999843750976553e-07,0.7499955625277342,2.4999843750976553e-07,2.4999843750976553e-07,2.4999843750976553e-07,0.24999868750820306,2.4999843750976553e-07
F4,9.999975000062498e-08,9.999975000062498e-08,9.999975000062498e-08,9.999975000062498e-08,9.999975000062498e-08,9.999975000062498e-08,9.999975000062498e-08,9.999975000062498e-08,9.999975000062498e-08,9.999975000062498e-08,9.999975000062498e-08,9.999975000062498e-08,9.999975000062498e-08,9.999975000062498e-08,9.999975000062498e-08,9.999975000062498e-08,0.6999983500041249,9.999975000062498e-08,0.199999600001,9.999975000062498e-08,9.999975000062498e-08,9.999975000062498e-08,9.999975000062498e-08,0.09999985000037498,9.999975000062498e-08
G#3,0.24999868750820306,2.4999843750976553e-07,0.24999868750820306,2.4999843750976553e-07,2.4999843750976553e-07,2.4999843750976553e-07,2.4999843750976553e-07,2.4999843750976553e-07,2.4999843750976553e-07,2.4999843750976553e-07,2.4999843750976553e-07,2.4999843750976553e-07,2.4999843750976553e-07,2.4999843750976553e-07,2.4999843750976553e-07,2.4999843750976553e-07,2.4999843750976553e-07,2.4999843750976553e-07,2.4999843750976553e-07,2.4999843750976553e-07,2.4999843750976553e-07,2.4999843750976553e-07,0.49999712501796867,2.4999843750976553e-07,2.4999843750976553e-07
G2,0.4999942500718742,4.999937500781241e-07,4.999937500781241e-07,4.999937500781241e-07,4.999937500781241e-07,4.999937500781241e-07,4.999937500781241e-07,4.999937500781241e-07,4.999937500781241e-07,4.999937500781241e-07,4.999937500781241e-07,0.4999942500718742,4.999937500781241e-07,4.999937500781241e-07,4.999937500781241e-07,4.999937500781241e-07,4.999937500781241e-07,4.999937500781241e-07,4.999937500781241e-07,4.999937500781241e-07,4.999937500781241e-07,4.999937500781241e-07,4.999937500781241e-07,4.999937500781241e-07,4.999937500781241e-07
G3,1.6666597222511573e-07,1.6666597222511573e-07,1.6666597222511573e-07,1.6666597222511573e-07,1.6666597222511573e-07,1.6666597222511573e-07,1.6666597222511573e-07,1.6666597222511573e-07,1.6666597222511573e-07,1.6666597222511573e-07,1.6666597222511573e-07,1.6666597222511573e-07,1.6666597222511573e-07,1.6666597222511573e-07,1.6666597222511573e-07,1.6666597222511573e-07,1.6666597222511573e-07,0.16666613889108794,1.6666597222511573e-07,1.6666597222511573e-07,0.3333321111162037,0.3333321111162037,1.6666597222511573e-07,0.16666613889108794,1.6666597222511573e-07
G4,1.6666597222511573e-07,0.16666613889108794,1.6666597222511573e-07,1.6666597222511573e-07,1.6666597222511573e-07,1.6666597222511573e-07,1.6666597222511573e-07,1.6666597222511573e-07,1.6666597222511573e-07,1.6666597222511573e-07,1.6666597222511573e-07,1.6666597222511573e-07,1.6666597222511573e-07,1.6666597222511573e-07,1.6666597222511573e-07,1.6666597222511573e-07,1.6666597222511573e-07,1.6666597222511573e-07,0.49999808334131945,1.6666597222511573e-07,1.6666597222511573e-07,1.6666597222511573e-07,0.3333321111162037,1.6666597222511573e-07,1.6666597222511573e-07
G6,9.999750006249849e-07,9.999750006249849e-07,9.999750006249849e-07,9.999750006249849e-07,9.999750006249849e-07,9.999750006249849e-07,9.999750006249849e-07,9.999750006249849e-07,9.999750006249849e-07,9.999750006249849e-07,9.999750006249849e-07,0.9999760005999854,9.999750006249849e-07,9.999750006249849e-07,9.999750006249849e-07,9.999750006249849e-07,9.999750006249849e-07,9.999750006249849e-07,9.999750006249849e-07,9.999750006249849e-07,9.999750006249849e-07,9.999750006249849e-07,9.999750006249849e-07,9.999750006249849e-07,9.999750006249849e-07
